=== STARTING VISUALIZER ===
Frame 14820 | Cart X: -0.04 | Theta: 0.05
Frame 14880 | Cart X: -0.05 | Theta: 0.07
Frame 14940 | Cart X: -0.04 | Theta: 0.04
Frame 15000 | Cart X: -0.07 | Theta: 0.16
Frame 15060 | Cart X: -0.01 | Theta: 0.04
Frame 15120 | Cart X: -0.09 | Theta: 0.15
Frame 15180 | Cart X: -0.06 | Theta: 0.08
Frame 15240 | Cart X: -0.01 | Theta: -0.04
Frame 15300 | Cart X: 0.00 | Theta: 0.09
Frame 15360 | Cart X: -0.01 | Theta: 0.05
Frame 15420 | Cart X: 0.00 | Theta: 0.01
Frame 15480 | Cart X: -0.00 | Theta: 0.05
Frame 15540 | Cart X: 0.03 | Theta: 0.00
Frame 15600 | Cart X: -0.05 | Theta: -0.01
Frame 15660 | Cart X: -0.04 | Theta: 0.18
Frame 15720 | Cart X: -0.02 | Theta: 0.05
Frame 15780 | Cart X: -0.04 | Theta: 0.02
Frame 15840 | Cart X: -0.09 | Theta: 0.12
Frame 15900 | Cart X: -0.04 | Theta: 0.01
Frame 15960 | Cart X: -0.04 | Theta: 0.06
Frame 16020 | Cart X: -0.02 | Theta: -0.01
Frame 16080 | Cart X: -0.05 | Theta: 0.13
Frame 16140 | Cart X: -0.09 | Theta: 0.15
Frame 16200 | Cart X: -0.02 | Theta: 0.05
Frame 16260 | Cart X: 0.03 | Theta: -0.05
Frame 16320 | Cart X: 0.05 | Theta: -0.02
Frame 16380 | Cart X: -0.01 | Theta: 0.09
Frame 16440 | Cart X: -0.08 | Theta: 0.19
Frame 16500 | Cart X: -0.02 | Theta: -0.04
Frame 16560 | Cart X: -0.15 | Theta: 0.18
Frame 16620 | Cart X: -0.04 | Theta: 0.03
Frame 16680 | Cart X: -0.07 | Theta: 0.15
Frame 16740 | Cart X: -0.05 | Theta: 0.10
Frame 16800 | Cart X: -0.05 | Theta: -0.01
Frame 16860 | Cart X: -0.08 | Theta: 0.14
Frame 16920 | Cart X: 0.05 | Theta: 0.01
Frame 16980 | Cart X: -0.07 | Theta: 0.01
Frame 17040 | Cart X: -0.06 | Theta: 0.00
Frame 17100 | Cart X: -0.06 | Theta: 0.16
Frame 17160 | Cart X: -0.04 | Theta: 0.07
Frame 17220 | Cart X: -0.17 | Theta: 0.14
Frame 17280 | Cart X: -0.10 | Theta: 0.13
Frame 17340 | Cart X: -0.12 | Theta: 0.08
Frame 17400 | Cart X: -0.04 | Theta: 0.06
Frame 17460 | Cart X: -0.03 | Theta: 0.02
Frame 17520 | Cart X: -0.08 | Theta: 0.10
Frame 17580 | Cart X: -0.05 | Theta: -0.04
Frame 17640 | Cart X: 0.01 | Theta: 0.01
Frame 17700 | Cart X: -0.03 | Theta: 0.12
Frame 17760 | Cart X: -0.04 | Theta: 0.02
Frame 17820 | Cart X: -0.03 | Theta: 0.04
Frame 17880 | Cart X: -0.09 | Theta: 0.06
Frame 17940 | Cart X: -0.11 | Theta: 0.17
Frame 18000 | Cart X: -0.03 | Theta: 0.05
Frame 18060 | Cart X: -0.03 | Theta: -0.00
Frame 18120 | Cart X: -0.09 | Theta: 0.13
Frame 18180 | Cart X: -0.07 | Theta: 0.11
Frame 18240 | Cart X: -0.05 | Theta: 0.01
Frame 18300 | Cart X: -0.07 | Theta: 0.03
Frame 18360 | Cart X: 0.00 | Theta: -0.04
Frame 18420 | Cart X: 0.04 | Theta: 0.00
Frame 18480 | Cart X: 0.00 | Theta: 0.04
Frame 18540 | Cart X: -0.09 | Theta: 0.05
Frame 18600 | Cart X: -0.09 | Theta: 0.14
Frame 18660 | Cart X: 0.02 | Theta: -0.02
Frame 18720 | Cart X: -0.03 | Theta: 0.03
Frame 18780 | Cart X: 0.04 | Theta: -0.03
Frame 18840 | Cart X: -0.02 | Theta: 0.03
Frame 18900 | Cart X: 0.01 | Theta: 0.02
Frame 18960 | Cart X: -0.04 | Theta: 0.02
Frame 19020 | Cart X: -0.09 | Theta: 0.07
Frame 19080 | Cart X: -0.07 | Theta: 0.18
Frame 19140 | Cart X: 0.01 | Theta: 0.01
Frame 19200 | Cart X: -0.09 | Theta: 0.14
Frame 19260 | Cart X: 0.04 | Theta: -0.04
Frame 19320 | Cart X: -0.15 | Theta: 0.21
Frame 19380 | Cart X: -0.03 | Theta: -0.02
Frame 19440 | Cart X: -0.02 | Theta: -0.02
Frame 19500 | Cart X: -0.05 | Theta: 0.12
Frame 19560 | Cart X: -0.12 | Theta: 0.18
Frame 19620 | Cart X: -0.02 | Theta: 0.02
Frame 19680 | Cart X: -0.12 | Theta: 0.12
Frame 19740 | Cart X: 0.04 | Theta: -0.01
Frame 19800 | Cart X: -0.07 | Theta: -0.01
Frame 19860 | Cart X: -0.14 | Theta: 0.19
Frame 19920 | Cart X: 0.01 | Theta: -0.02
Frame 19980 | Cart X: 0.05 | Theta: -0.03
Frame 20040 | Cart X: -0.09 | Theta: 0.07
Frame 20100 | Cart X: 0.01 | Theta: -0.01
Frame 20160 | Cart X: -0.05 | Theta: -0.02
Frame 20220 | Cart X: -0.10 | Theta: 0.08
Frame 20280 | Cart X: -0.16 | Theta: 0.20
Frame 20340 | Cart X: -0.01 | Theta: 0.03
Frame 20400 | Cart X: -0.02 | Theta: -0.01
Frame 20460 | Cart X: -0.06 | Theta: 0.07
Frame 20520 | Cart X: -0.03 | Theta: 0.03
Frame 20580 | Cart X: -0.05 | Theta: 0.10
Frame 20640 | Cart X: -0.14 | Theta: 0.18
Frame 20700 | Cart X: -0.08 | Theta: 0.02
Frame 20760 | Cart X: -0.15 | Theta: 0.17
Frame 20820 | Cart X: -0.14 | Theta: 0.14
Frame 20880 | Cart X: -0.16 | Theta: 0.15
Frame 20940 | Cart X: -0.05 | Theta: -0.03
Frame 21000 | Cart X: -0.01 | Theta: 0.06
Frame 21060 | Cart X: -0.04 | Theta: 0.00
Frame 21120 | Cart X: -0.04 | Theta: 0.07
Frame 21180 | Cart X: 0.04 | Theta: 0.03
Frame 21240 | Cart X: -0.06 | Theta: 0.02
Frame 21300 | Cart X: -0.04 | Theta: -0.02
Frame 21360 | Cart X: 0.01 | Theta: 0.03
Frame 21420 | Cart X: 0.04 | Theta: 0.01
Frame 21480 | Cart X: 0.00 | Theta: 0.01
Frame 21540 | Cart X: -0.08 | Theta: 0.02
Frame 21600 | Cart X: -0.01 | Theta: 0.04
Frame 21660 | Cart X: -0.08 | Theta: 0.11
Frame 21720 | Cart X: -0.21 | Theta: 0.20
Frame 21780 | Cart X: 0.00 | Theta: 0.04
Frame 21840 | Cart X: -0.11 | Theta: 0.16
Frame 21900 | Cart X: 0.01 | Theta: 0.03
Frame 21960 | Cart X: -0.07 | Theta: 0.15
Frame 22020 | Cart X: -0.10 | Theta: 0.10
Frame 22080 | Cart X: 0.00 | Theta: 0.03
Frame 22140 | Cart X: -0.12 | Theta: 0.17
Frame 22200 | Cart X: -0.09 | Theta: 0.04
Frame 22260 | Cart X: -0.11 | Theta: 0.12
Frame 22320 | Cart X: -0.01 | Theta: -0.04
Frame 22380 | Cart X: -0.03 | Theta: 0.07
Frame 22440 | Cart X: -0.04 | Theta: 0.04
Frame 22500 | Cart X: 0.00 | Theta: 0.06
Frame 22560 | Cart X: -0.08 | Theta: 0.12
Frame 22620 | Cart X: 0.05 | Theta: -0.01
Frame 22680 | Cart X: -0.06 | Theta: 0.11
Frame 22740 | Cart X: 0.02 | Theta: -0.02
Frame 22800 | Cart X: -0.08 | Theta: 0.19
Frame 22860 | Cart X: -0.06 | Theta: 0.07
Frame 22920 | Cart X: -0.10 | Theta: 0.11
Frame 22980 | Cart X: -0.00 | Theta: -0.03
Frame 23040 | Cart X: -0.03 | Theta: 0.07
Frame 23100 | Cart X: 0.01 | Theta: -0.04
Frame 23160 | Cart X: -0.02 | Theta: -0.01
Frame 23220 | Cart X: -0.06 | Theta: 0.00
Frame 23280 | Cart X: -0.05 | Theta: 0.05
Frame 23340 | Cart X: -0.13 | Theta: 0.14
Frame 23400 | Cart X: -0.01 | Theta: -0.00
Frame 23460 | Cart X: -0.09 | Theta: 0.07
Frame 23520 | Cart X: -0.09 | Theta: 0.13
